Timestamp,FileName,FolderPath,ActionType,InitiatingProcessFileName,InitiatingProcessCommandLine
"Apr 1, 2025 6:45:33 PM",__PSScriptPolicyTest_bic2c5ht.zos.ps1,C:\Users\johndoe678\AppData\Local\Temp\__PSScriptPolicyTest_bic2c5ht.zos.ps1,FileCreated,powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -NoProfile -Command ""Add-Type 'using System; using System.Diagnostics; using System.Diagnostics.Tracing; namespace Sense { [EventData(Name = \""Onboarding\"")]public struct Onboarding{public string Message { get; set; }} public class Trace {public static EventSourceOptions TelemetryCriticalOption = new EventSourceOptions(){Level = EventLevel.Informational, Keywords = (EventKeywords)0x0000200000000000, Tags = (EventTags)0x0200000}; public void WriteOnboardingMessage(string message){es.Write(\""OnboardingScript\"", TelemetryCriticalOption, new Onboarding {Message = message});} private static readonly string[] telemetryTraits = { \""ETW_GROUP\"", \""{5ECB0BAC-B930-47F5-A8A4-E8253529EDB7}\"" }; private EventSource es = new EventSource(\""Microsoft.Windows.Sense.Client.Management\"",EventSourceSettings.EtwSelfDescribingEventFormat,telemetryTraits);}}'; $logger = New-Object -TypeName Sense.Trace; $logger.WriteOnboardingMessage('Successfully onboarded machine to Microsoft Defender for Endpoint')"" "
"Apr 1, 2025 6:45:33 PM",__PSScriptPolicyTest_puxqga21.npg.psm1,C:\Users\johndoe678\AppData\Local\Temp\__PSScriptPolicyTest_puxqga21.npg.psm1,FileCreated,powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -NoProfile -Command ""Add-Type 'using System; using System.Diagnostics; using System.Diagnostics.Tracing; namespace Sense { [EventData(Name = \""Onboarding\"")]public struct Onboarding{public string Message { get; set; }} public class Trace {public static EventSourceOptions TelemetryCriticalOption = new EventSourceOptions(){Level = EventLevel.Informational, Keywords = (EventKeywords)0x0000200000000000, Tags = (EventTags)0x0200000}; public void WriteOnboardingMessage(string message){es.Write(\""OnboardingScript\"", TelemetryCriticalOption, new Onboarding {Message = message});} private static readonly string[] telemetryTraits = { \""ETW_GROUP\"", \""{5ECB0BAC-B930-47F5-A8A4-E8253529EDB7}\"" }; private EventSource es = new EventSource(\""Microsoft.Windows.Sense.Client.Management\"",EventSourceSettings.EtwSelfDescribingEventFormat,telemetryTraits);}}'; $logger = New-Object -TypeName Sense.Trace; $logger.WriteOnboardingMessage('Successfully onboarded machine to Microsoft Defender for Endpoint')"" "
"Apr 1, 2025 6:45:33 PM",Network Persistent State,C:\Users\johndoe678\AppData\Local\Microsoft\Edge\User Data\Default\Network\Network Persistent State,FileRenamed,msedge.exe,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --always-read-main-dll --field-trial-handle=2392,i,17526776970286553476,58487046411600910,262144 --variations-seed-version --mojo-platform-channel-handle=2420 /prefetch:3"
"Apr 1, 2025 6:45:36 PM",Local State,C:\Users\johndoe678\AppData\Local\Microsoft\Edge\User Data\Local State,FileRenamed,msedge.exe,"""msedge.exe"" --no-startup-window"
"Apr 1, 2025 6:45:36 PM",nj1deola,C:\Users\johndoe678\AppData\Local\Temp\nj1deola,FileCreated,powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -NoProfile -Command ""Add-Type 'using System; using System.Diagnostics; using System.Diagnostics.Tracing; namespace Sense { [EventData(Name = \""Onboarding\"")]public struct Onboarding{public string Message { get; set; }} public class Trace {public static EventSourceOptions TelemetryCriticalOption = new EventSourceOptions(){Level = EventLevel.Informational, Keywords = (EventKeywords)0x0000200000000000, Tags = (EventTags)0x0200000}; public void WriteOnboardingMessage(string message){es.Write(\""OnboardingScript\"", TelemetryCriticalOption, new Onboarding {Message = message});} private static readonly string[] telemetryTraits = { \""ETW_GROUP\"", \""{5ECB0BAC-B930-47F5-A8A4-E8253529EDB7}\"" }; private EventSource es = new EventSource(\""Microsoft.Windows.Sense.Client.Management\"",EventSourceSettings.EtwSelfDescribingEventFormat,telemetryTraits);}}'; $logger = New-Object -TypeName Sense.Trace; $logger.WriteOnboardingMessage('Successfully onboarded machine to Microsoft Defender for Endpoint')"" "
"Apr 1, 2025 6:45:36 PM",nj1deola.dll,C:\Users\johndoe678\AppData\Local\Temp\nj1deola\nj1deola.dll,FileCreated,powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -NoProfile -Command ""Add-Type 'using System; using System.Diagnostics; using System.Diagnostics.Tracing; namespace Sense { [EventData(Name = \""Onboarding\"")]public struct Onboarding{public string Message { get; set; }} public class Trace {public static EventSourceOptions TelemetryCriticalOption = new EventSourceOptions(){Level = EventLevel.Informational, Keywords = (EventKeywords)0x0000200000000000, Tags = (EventTags)0x0200000}; public void WriteOnboardingMessage(string message){es.Write(\""OnboardingScript\"", TelemetryCriticalOption, new Onboarding {Message = message});} private static readonly string[] telemetryTraits = { \""ETW_GROUP\"", \""{5ECB0BAC-B930-47F5-A8A4-E8253529EDB7}\"" }; private EventSource es = new EventSource(\""Microsoft.Windows.Sense.Client.Management\"",EventSourceSettings.EtwSelfDescribingEventFormat,telemetryTraits);}}'; $logger = New-Object -TypeName Sense.Trace; $logger.WriteOnboardingMessage('Successfully onboarded machine to Microsoft Defender for Endpoint')"" "
"Apr 1, 2025 6:45:37 PM",nj1deola.dll,C:\Users\johndoe678\AppData\Local\Temp\nj1deola\nj1deola.dll,FileCreated,csc.exe,"""csc.exe"" /noconfig /fullpaths @""C:\Users\johndoe678\AppData\Local\Temp\nj1deola\nj1deola.cmdline"""
"Apr 1, 2025 6:45:43 PM",__PSScriptPolicyTest_kinvw44t.m04.ps1,C:\Windows\Temp\__PSScriptPolicyTest_kinvw44t.m04.ps1,FileCreated,powershell.exe,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079.12576079-acc777306b8c1be3ac1491bd6b6f712cbdc6a21f\05f2c576-9ed5-41eb-9b1e-1b653eebfdff.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Microsoft.PowerShell.Utility\Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079.12576079-acc777306b8c1be3ac1491bd6b6f712cbdc6a21f\05f2c576-9ed5-41eb-9b1e-1b653eebfdff.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq '049842352aa516cf3e69cc8c34b799faa70bd7e7716ee9ae16d808860d3864c9')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079.12576079-acc777306b8c1be3ac1491bd6b6f712cbdc6a21f\05f2c576-9ed5-41eb-9b1e-1b653eebfdff.ps1' }"""
"Apr 1, 2025 6:45:43 PM",__PSScriptPolicyTest_exfd1vg0.vjl.psm1,C:\Windows\Temp\__PSScriptPolicyTest_exfd1vg0.vjl.psm1,FileCreated,powershell.exe,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079.12576079-acc777306b8c1be3ac1491bd6b6f712cbdc6a21f\05f2c576-9ed5-41eb-9b1e-1b653eebfdff.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Microsoft.PowerShell.Utility\Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079.12576079-acc777306b8c1be3ac1491bd6b6f712cbdc6a21f\05f2c576-9ed5-41eb-9b1e-1b653eebfdff.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq '049842352aa516cf3e69cc8c34b799faa70bd7e7716ee9ae16d808860d3864c9')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8795.12576079.0.12576079.12576079-acc777306b8c1be3ac1491bd6b6f712cbdc6a21f\05f2c576-9ed5-41eb-9b1e-1b653eebfdff.ps1' }"""
"Apr 1, 2025 6:45:46 PM",LOG,C:\Users\johndoe678\AppData\Local\Microsoft\Edge\User Data\Default\EdgePushStorageWithWinRt\LOG,FileCreated,msedge.exe,"""msedge.exe"" --no-startup-window"
